Iced Coffee,0,0,0,0,0,0
Nariño 70 Cold Brew with Milk,0,0,0,0,0,0
Blonde Roast,5,0,0,0,1,10
Decaf Pike Place® Roast,5,0,0,0,1,10
Featured Dark Roast,5,0,0,0,1,10
Iced Coffee,5,0,0,0,0,5
Nariño 70 Cold Brew,5,0,0,0,0,15
Nitro Cold Brew,5,0,0,0,0,10
Pike Place® Roast,5,0,0,0,1,10
Starbucks® Iced Coffee Unsweetened,10,0,2,0,1,0
Clover® Brewed Coffee,10,0,0,0,1,10
Teavana® Shaken Iced Black Tea,30,0,8,0,0,5
Teavana® Shaken Iced Green Tea,30,0,8,0,0,5
Teavana® Shaken Iced Passion Tango™ Tea,30,0,8,0,0,5
Cool Lime Starbucks Refreshers™ Beverage,45,0,11,0,0,10
Starbucks Doubleshot® on Ice Beverage,45,1,5,0,3,40
Starbucks® Iced Coffee Light Sweetened,50,0,11,0,1,0
Very Berry Hibiscus Starbucks Refreshers™ Beverage,60,0,14,1,0,10
Tazo® Bottled Berry Blossom White,60,0,15,0,0,10
Tazo® Bottled Organic Iced Black Tea,60,0,15,0,0,10
Teavana® Shaken Iced Peach Green Tea,60,0,15,0,0,0
Starbucks® Iced Coffee Caramel,60,0,13,0,1,0
Tazo® Bottled Berry Blossom White,60,0,15,0,0,10
Tazo® Bottled Organic Iced Black Tea,60,0,15,0,0,10
Tazo® Bottled Iced Passion,70,0,17,0,0,10
Teavana® Shaken Iced Black Tea Lemonade,70,0,17,0,0,0
Teavana® Shaken Iced Green Tea Lemonade,70,0,17,0,0,5
Tazo® Bottled Iced Passion,70,0,17,0,0,10
Nitro Cold Brew with Sweet Cream,70,5,5,0,1,20
Strawberry Acai Starbucks Refreshers™ Beverage,80,0,18,1,0,10
Shaken Sweet Tea,80,0,19,0,0,10
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90,0,24,0,0,0
Starbucks Refreshers™ Raspberry Pomegranate,90,0,27,0,0,0
Starbucks Refreshers™ Strawberry Lemonade,90,0,27,0,0,0
Evolution Fresh™ Organic Ginger Limeade,110,0,28,0,0,5
Vanilla Sweet Cream Cold Brew,110,6,14,0,1,25
Coffee Light Frappuccino® Blended Coffee,110,0,24,0,3,200
Tazo® Bottled Lemon Ginger,120,0,31,0,0,10
Tazo® Bottled Organic Iced Green Tea,120,0,31,0,0,10
Tazo® Bottled Lemon Ginger,120,0,31,0,0,10
Tazo® Bottled Organic Iced Green Tea,120,0,31,0,0,10
Cappuccino,120,4,12,0,8,100
Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5,65
Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5,65
Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5,65
Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5,65
Iced Caffè Latte,130,4.5,13,0,8,115
Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5,90
Tazo® Bottled Black with Lemon,140,0,35,0,0,10
Tazo® Bottled Brambleberry,140,0,35,0,0,15
Tazo® Bottled Organic Black Lemonade,140,0,35,0,0,10
Tazo® Bottled Plum Pomegranate,140,0,35,0,0,10
Tazo® Bottled White Cranberry,140,0,35,0,0,10
Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5,90
Tazo® Bottled Black with Lemon,140,0,35,0,0,10
Tazo® Bottled Brambleberry,140,0,35,0,0,15
Tazo® Bottled Organic Black Lemonade,140,0,35,0,0,10
Tazo® Bottled Plum Pomegranate,140,0,35,0,0,10
Tazo® Bottled White Cranberry,140,0,35,0,0,10
Mocha Light Frappuccino® Blended Coffee,140,0.5,28,1,4,180
Tazo® Bottled Black Mango,150,0,38,0,0,15
Tazo® Bottled Giant Peach,150,0,37,0,0,15
Tazo® Bottled Tazoberry,150,0,38,0,0,15
Tazo® Bottled Black Mango,150,0,38,0,0,15
Tazo® Bottled Giant Peach,150,0,37,0,0,15
Tazo® Bottled Tazoberry,150,0,38,0,0,15
Flat White,180,7,18,0,12,160
Caffè Latte,190,7,19,0,13,170
Iced Vanilla Latte,190,4,30,0,7,100
Latte Macchiato,190,7,19,0,12,160
Latte Macchiato,190,7,19,0,12,160
Starbucks® Doubleshot Protein Vanilla,200,2.5,34,2,20,120
Iced Cinnamon Dolce Latte,200,4,34,0,7,95
Cinnamon Dolce Crème,200,6,28,0,10,135
Vanilla Crème,200,6,28,0,10,135
Starbucks® Doubleshot Protein Dark Chocolate,210,2.5,33,2,20,115
Iced Caffè Mocha,230,6,36,4,9,90
Caramel Macchiato,250,7,35,0,10,150
Coconutmilk Mocha Macchiato,250,9,32,0,12,180
Iced Caramel Macchiato,250,7,37,0,10,150
Vanilla Latte,250,6,37,0,12,150
Cinnamon Dolce Latte,260,6,40,0,11,150
Iced Coconutmilk Mocha Macchiato,260,9,34,0,11,180
Mocha Frappuccino® Blended Coffee,280,2.5,60,2,4,220
Caffè Mocha,290,8,42,4,13,140
Iced White Chocolate Mocha,300,8,47,0,10,190
Strawberry Smoothie,300,2,60,7,16,130
Hot Chocolate,320,9,47,4,14,160
Chocolate Smoothie,320,5,53,8,20,170
Cinnamon Dolce Frappuccino® Blended Coffee,350,4.5,64,0,15,0
White Chocolate Mocha,360,11,53,0,14,240
Starbucks® Signature Hot Chocolate,430,26,45,5,12,115
